doctor_id,first_name,last_name,specialization,phone_number,years_experience,hospital_id,hospital_branch,email,reputation_score,public_medical_opinion_index
DOC-00000001,晨,Hurley,Gynecology,18588002328,9,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.晨.hurley@newyork-presbyterian.com,2.89,54.13
DOC-00000002,Marc,Allen,Oncology,0314089549,10,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.marc.allen@newyork-presbyterian.com,3.58,73.3
DOC-00000003,James,Lacroix,Obstetrics,+34 803 936 112,6,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.james.lacroix@newyork-presbyterian.com,3.1,70.58
DOC-00000004,华,Cañete,Ophthalmology,0184052950,10,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.华.cañete@newyork-presbyterian.com,2.7,53.22
DOC-00000005,Natalja,Bradley,Ophthalmology,04 97 08 59 99,14,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.natalja.bradley@newyork-presbyterian.com,3.68,67.88
DOC-00000006,Alfonso,भट,Pathology,18954090842,10,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.alfonso.भट@newyork-presbyterian.com,2.86,66.93
DOC-00000007,亮介,Herrera,Neurology,08 9578 7734,12,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.亮介.herrera@newyork-presbyterian.com,3.13,68.64
DOC-00000008,Luke,王,Cardiology,001-724-338-4302x897,12,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.luke.王@newyork-presbyterian.com,3.1,66.96
DOC-00000009,Miguel,Machado,Ophthalmology,282-847-8134,8,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.miguel.machado@newyork-presbyterian.com,3.02,55.8
DOC-00000010,想,Lefèvre,Dermatology,333-885-4663 x288,8,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.想.lefèvre@newyork-presbyterian.com,2.55,53.09
DOC-00000011,Natalia,Reyes,Gynecology,0500-482-4399,7,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.natalia.reyes@newyork-presbyterian.com,2.42,50.5
DOC-00000012,ريفال,Dyer,Anesthesiology,(081) 5623-3517,7,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.ريفال.dyer@newyork-presbyterian.com,2.86,48.25
DOC-00000013,Joana,周,Cardiology,041-785-8698,7,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.joana.周@newyork-presbyterian.com,3.12,60.69
DOC-00000014,Laura,Vasseur,Dermatology,09078 30521,6,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.laura.vasseur@newyork-presbyterian.com,3.28,66.12
DOC-00000015,凤英,Jones,Pulmonology,+34826 14 32 63,12,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.凤英.jones@newyork-presbyterian.com,3.49,77.8
DOC-00000016,Lisa,Klein,Oncology,+49(0)7197544958,7,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.lisa.klein@newyork-presbyterian.com,3.15,55.98
