doctor_id,first_name,last_name,specialization,experience_level,years_experience,reputation_score,reputation_category,public_medical_opinion_index,phone_number,email,hospital_id,hospital_branch
DOC-00002430,香織,Lindau,Surgery,Mid-Level,10,2.72,Average,51.88,017-24322089,dr.香織.lindau@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002431,杨,Comas,Obstetrics,Mid-Level,9,3.02,Average,66.02,+49(0)5576 265656,dr.杨.comas@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002432,Dorothée,Carro,Ophthalmology,Mid-Level,14,3.03,Average,53.95,07 8898 0579,dr.dorothée.carro@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002433,جلاء,Meyer,Internal Medicine,Mid-Level,6,2.91,Average,58.9,3755865597,dr.جلاء.meyer@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002434,Terri,साहा,Surgery,Mid-Level,7,3.37,Average,61.87,+61 437 488 189,dr.terri.साहा@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002435,Terry,渡辺,Obstetrics,Mid-Level,5,2.8,Average,47.81,080-9794-9668,dr.terry.渡辺@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002436,Donald,Andrade,Internal Medicine,Junior,3,3.14,Average,62.46,061-042-1781,dr.donald.andrade@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002437,娜,Rush,Surgery,Mid-Level,9,3.35,Average,59.8,+44(0)151 4960024,dr.娜.rush@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002438,Jessica,Dalla,Gastroenterology,Mid-Level,9,3.44,Average,62.95,02-7690-2590,dr.jessica.dalla@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002439,لورا,민,Surgery,Mid-Level,8,3.38,Average,75.19,+33 5 45 85 27 66,dr.لورا.민@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002440,Sean,송,Surgery,Mid-Level,10,2.99,Average,68.44,15305958214,dr.sean.송@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002441,준서,नारायण,Pathology,Mid-Level,6,2.52,Average,59.1,011-296-9300,dr.준서.नारायण@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002442,윤서,沈,Internal Medicine,Mid-Level,9,3.44,Average,61.47,443.835.7533x2324,dr.윤서.沈@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002443,Maureen,Soto,Internal Medicine,Senior,15,3.1,Average,67.31,+441514960717,dr.maureen.soto@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002444,Jamie,Ferragamo,Surgery,Senior,19,3.74,Good,65.29,18725817522,dr.jamie.ferragamo@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002445,순자,陈,Obstetrics,Mid-Level,9,2.66,Average,61.08,(0909)8790681,dr.순자.陈@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002446,José,许,Internal Medicine,Mid-Level,11,2.8,Average,52.07,017-577-2223,dr.josé.许@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002447,Marina,Little,Rheumatology,Mid-Level,6,2.43,Average,54.45,017-951-4446,dr.marina.little@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002448,Luke,山崎,Surgery,Mid-Level,12,3.51,Good,70.54,052-01398096,dr.luke.山崎@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002449,زهرة,Zhang,Surgery,Senior,15,3.77,Good,75.78,+49(0)7078261602,dr.زهرة.zhang@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002450,Samuel,Maspero,Surgery,Senior,16,3.44,Average,68.45,02-7875-8229,dr.samuel.maspero@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002451,亮介,Mallet,Obstetrics,Mid-Level,10,3.04,Average,68.39,0931703693,dr.亮介.mallet@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002452,Maxi,Botticelli,Internal Medicine,Senior,15,3.89,Good,80.79,+34 803 14 94 89,dr.maxi.botticelli@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002453,静,Perales,Surgery,Junior,3,2.76,Average,50.29,+34 942 81 12 91,dr.静.perales@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002454,Matthew,Franzese,Obstetrics,Mid-Level,8,3.23,Average,73.88,080-7744-6150,dr.matthew.franzese@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002455,Dan,Bull,Gastroenterology,Mid-Level,7,3.42,Average,69.44,090-2765-8846,dr.dan.bull@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002456,Mikhail,آل علي,Surgery,Mid-Level,10,2.67,Average,45.92,044-831-2393,dr.mikhail.آل علي@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002457,João Gabriel,Davies,Obstetrics,Mid-Level,14,3.58,Good,75.36,08401598303,dr.joão gabriel.davies@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002458,Isaac,田中,Obstetrics,Senior,19,3.79,Good,80.06,02676 480826,dr.isaac.田中@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002459,Kieran,萧,Anesthesiology,Mid-Level,13,3.54,Good,74.63,(315) 519-9837,dr.kieran.萧@dubaihospital.com,HOSP-UNI-00073,Dubai Hospital
DOC-00002460,Matthew,伊藤,Neurology,Mid-Level,5,3.05,Average,69.51,+55 31 7153 7654,dr.matthew.伊藤@huashanhospital.com,HOSP-CHI-00074,Huashan Hospital
DOC-00002461,Manuella,Matthäi,Pediatrics,Mid-Level,10,3.31,Average,61.84,01632960030,dr.manuella.matthäi@huashanhospital.com,HOSP-CHI-00074,Huashan Hospital
DOC-00002462,Lori,آل عايض,Urology,Mid-Level,7,2.45,Average,58.48,070-6607-5618,dr.lori.آل عايض@huashanhospital.com,HOSP-CHI-00074,Huashan Hospital
DOC-00002463,باهرة,김,Neurology,Mid-Level,10,3.17,Average,67.1,5127109864,dr.باهرة.김@huashanhospital.com,HOSP-CHI-00074,Huashan Hospital
DOC-00002464,सुनीती,Pierce,Pulmonology,Senior,15,3.2,Average,55.56,0117 4960736,dr.सुनीती.pierce@huashanhospital.com,HOSP-CHI-00074,Huashan Hospital
DOC-00002465,Robin,Schaefer,Orthopedics,Mid-Level,13,3.38,Average,62.66,080-6351-9809,dr.robin.schaefer@huashanhospital.com,HOSP-CHI-00074,Huashan Hospital
DOC-00002466,성민,이,Oncology,Mid-Level,6,2.92,Average,66.82,+39 350527493,dr.성민.이@huashanhospital.com,HOSP-CHI-00074,Huashan Hospital
DOC-00002467,Jane,Fernandez,Pulmonology,Mid-Level,13,3.55,Good,74.79,+91 600 3960649,dr.jane.fernandez@huashanhospital.com,HOSP-CHI-00074,Huashan Hospital
DOC-00002468,秀芳,王,Anesthesiology,Mid-Level,11,3.61,Good,66.42,134.503.5428,dr.秀芳.王@huashanhospital.com,HOSP-CHI-00074,Huashan Hospital
DOC-00002469,Alessandro,Pires,Pediatrics,Junior,4,3.07,Average,53.89,0590234722,dr.alessandro.pires@huashanhospital.com,HOSP-CHI-00074,Huashan Hospital
